epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.061586,0.232095,1.897626,0.313725,0.0007,132.7301
2,1.783074,0.332533,1.863127,0.334559,0.0007,134.638
3,1.652883,0.376748,1.686067,0.394608,0.0007,120.4417
4,1.552609,0.411499,1.571671,0.443627,0.0007,131.6686
5,1.471492,0.450629,1.542501,0.452206,0.0007,127.1626
6,1.408698,0.474926,1.475864,0.448529,0.0007,119.5359
7,1.361093,0.504026,1.381453,0.490196,0.0007,126.75
8,1.28325,0.533409,1.364727,0.508578,0.0007,129.693
9,1.247594,0.551208,1.394391,0.504902,0.0007,154.6205
10,1.185831,0.574799,1.151083,0.628676,0.0007,111.3779
11,1.161493,0.57833,1.27778,0.552696,0.0007,118.1788
12,1.123255,0.596694,1.155168,0.629902,0.0007,118.4435
13,1.076188,0.617601,1.269303,0.574755,0.00035,117.4949
14,1.007166,0.640768,1.193266,0.60049,0.00035,118.5985
15,0.974831,0.652917,1.170036,0.621324,0.00035,117.6421
16,0.944836,0.665207,1.181534,0.632353,0.000175,117.3776
