epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.001645,0.251024,1.917975,0.319853,0.001,114.4753
2,1.692362,0.354852,1.722249,0.390931,0.001,116.9905
3,1.521243,0.43735,1.555045,0.473039,0.001,140.1746
4,1.406847,0.477469,1.551635,0.480392,0.001,114.4683
5,1.314471,0.517728,1.288104,0.539216,0.001,114.2282
6,1.234789,0.547252,1.308091,0.569853,0.001,107.7174
7,1.160734,0.574657,1.269193,0.564951,0.001,107.5318
8,1.119756,0.596129,1.271079,0.589461,0.001,108.6096
9,1.060527,0.615341,1.195569,0.57598,0.001,107.8084
10,1.039393,0.631304,1.156124,0.64951,0.001,108.5365
11,0.998898,0.650092,1.164734,0.620098,0.001,111.3876
12,0.957851,0.658285,1.083894,0.633578,0.001,109.6289
13,0.937942,0.674107,1.050789,0.676471,0.001,109.5744
14,0.899649,0.683571,1.076954,0.713235,0.001,118.3401
15,0.876289,0.690634,1.095596,0.643382,0.001,104.3832
16,0.846372,0.698545,1.018536,0.678922,0.001,105.5649
17,0.820914,0.712813,1.050568,0.665441,0.001,105.4459
18,0.809241,0.711541,1.023365,0.655637,0.001,105.0684
19,0.770036,0.732166,1.026788,0.718137,0.0005,105.0284
20,0.716621,0.751942,1.00441,0.705882,0.0005,106.7893
21,0.692965,0.763808,0.96836,0.71201,0.0005,106.0877
22,0.704538,0.755474,0.974604,0.740196,0.0005,105.0489
23,0.684665,0.762678,1.012631,0.699755,0.0005,105.7905
24,0.667032,0.770024,0.950023,0.741422,0.0005,106.2686
25,0.658976,0.775251,0.981318,0.734069,0.0005,106.5489
